Title,Synopsis,"Award Type","Next due date (Y-m-d)","Proposals accepted anytime","Program ID","NSF/PD Num",Status,"Posted date (Y-m-d)",URL,Type,"Solicitation URL"
"Partnerships for Research Innovation in the Mathematical Sciences (PRIMES)","The NSF Division of Mathematical Sciences’ Partnerships for Research Innovation in the Mathematical Sciences program aims to enhance partnerships between minority-serving institutions and DMS-supported Mathematical Sciences Research Institutes. The activity seeks to boost the participation of members of groups underrepresented in the mathematical sciences through their increased involvement in research programs at the institutes.","standard, continuing","2023-05-26, 2023-05-26",,506164,nsf23560,Cleared,2023-02-14,https://beta.nsf.gov/funding/opportunities/partnerships-research-innovation-mathematical,Program,https://www.nsf.gov/publications/pub_summ.jsp?WT.z_pims_id=506164&ods_key=nsf23560
"Plant Genome Research Program (PGRP)","The Plant Genome Research Program (PGRP) supports genome-scale research that addresses challenging questions of biological, societal and economic importance. PGRP encourages the development of innovative tools, technologies and resources that empower a broad plant research community to answer scientific questions on a genome-wide scale. Emphasis is placed on the scale and depth of the question being addressed and the creativity of the approach. Data produced by plant genomics should be usable, accessible, integrated across scales and of high impact across biology. Training, broadening participation, and career development are essential to scientific progress and should be integrated in all PGRP-funded projects.
Two funding tracks are currently available:
RESEARCH-PGR TRACK: Genome-scale plant research to address fundamental questions in biology, including processes of economic and/or societal importance.
TRTech-PGR TRACK: Tools, resources and technology breakthroughs that further enable functional plant genomics.","standard, continuing",,,5338,nsf23559,Cleared,2023-02-13,https://beta.nsf.gov/funding/opportunities/plant-genome-research-program-pgrp,Program,https://www.nsf.gov/publications/pub_summ.jsp?WT.z_pims_id=5338&ods_key=nsf23559
"Research on Integrated Photonics Utilizing AIM Photonics Capabilities",,"supplemental, standard, continuing",,,,nsf23054,,2023-02-10,https://beta.nsf.gov/funding/opportunities/research-integrated-photonics-utilizing-aim-0,"Dear colleague letter",
"Supporting Open Polar Research Software",,"supplemental, standard, continuing",,,,nsf23053,,2023-02-08,https://beta.nsf.gov/funding/opportunities/supporting-open-polar-research-software,"Dear colleague letter",
"Accelerating Research Translation (ART)","The National Science Foundation (NSF) seeks to increase the scale and pace of advancing discoveries made while conducting academic research into tangible solutions that benefit the public. This is the primary aim of the “Accelerating Research Translation” (ART) program. Specifically, the primary goals of this program are to build capacity and infrastructure for translational research at U.S. Institutions of Higher Education (IHEs) and to enhance their role in regional innovation ecosystems. In addition, this program seeks to effectively train graduate students and postdoctoral researchers in translational research, benefiting them across a range of career options.
A particular intent of ART is to support IHEs that want to build the necessary infrastructure to boost the overall institutional capacity to accelerate the pace and scale of translation of fundamental research outcomes into practice by supporting the development of a range of activities essential for this activity. The ART program is not intended to support IHEs that already have high levels of translational research activity as part of their R&D enterprise (as noted by their number of invention disclosures, patents issued, start-ups, licenses/options, revenue from royalties, the overall volume of industry-funded research, broad adoption of research outputs by communities or constituents, etc.). Such institutions are encouraged to become part of the ART network as valuable collaborators, providing expertise in building the necessary infrastructure for translational research at other IHEs responding to this solicitation. The ART program is also not intended as a resource for conducting additional fundamental research. See sections II and VI of this solicitation for additional information.
This solicitation seeks proposals that enable IHE-based teams to propose a blend of: (1) activities that will help build and/or strengthen the institutional infrastructure to sustainably grow the institutional capacity for research translation in the short and long terms; (2) educational/training opportunities, especially for graduate students and postdoctoral researchers, to become entrepreneurs and/or seek use-inspired and/or translational research-oriented careers in the public and/or private sectors; and (3) specific, translational research activities that offer immediate opportunities for transition to practice to create economic and/or societal impact. The funded teams will form a nationwide network of ‘ART Ambassadors’ who will champion the cause of translational research.",coop,"2023-05-09, 2023-05-09",,506143,nsf23558,Cleared,2023-02-07,https://beta.nsf.gov/funding/opportunities/accelerating-research-translation-art,Program,https://www.nsf.gov/publications/pub_summ.jsp?WT.z_pims_id=506143&ods_key=nsf23558
"Global Centers (GC)","This solicitation launches an ambitious new program to fund international, interdisciplinary collaborative research centers that will apply best practices of broadening participation and community engagement to develop use-inspired research on climate change and clean energy.  This program will prioritize research collaborations fostering team science, community-engaged research, and use knowledge-to-action frameworks. The proposed research work should maximize the benefits of international, interdisciplinary collaborations.
Climate change is a global threat that impacts the natural and human world through changes in regional weather patterns, acceleration of species extinctions, alteration of the structure and function of ecosystems as well as by affecting human societies, the built environment, and processes in urban and rural areas around the globe. Given the complexity of the problem and the cascading nature of impacts, climate change demands convergent, interdisciplinary research collaborations that bring together studies of any number of topics such as greenhouse gas emissions, atmospheric and oceanic circulation drivers, impacts of natural and built environment, human behavior, and policy constraints, coupled with innovative artificial intelligence (AI), computational and data science solutions, to help assess or mitigate community impacts and/or lead to technology developments. 
The changes to the global climate system are diverse, with some areas experiencing greater flooding frequencies or intensities, others impacted by more frequent or more severe heat or droughts, and still others suffering from sea level rise. Impacts on natural systems vary greatly from changes in the distribution of plants and animals, alterations in the flow of energy and materials within ecosystems, changes in the timing of biological processes, altered molecular and cellular processes, to increased occurrences of infectious diseases. Changes to human systems show complex responses, including those in transportation and agricultural production, cultural innovation, economic policies, as well as in diverse effects on manufacturing, electrical production and distribution, and computation.
Conceiving solutions to climate change may involve decarbonization efforts such as switching to renewable or clean energy or deploy technologies that directly remove CO2 from the atmosphere such as Net Zero initiatives. Developing solutions will require interdisciplinary collaboration and international cooperation to accelerate the transition to clean energy or net zero through science, technology, and policy.  In some regions solutions might employ urban planning to address environmental justice issues or reduce exposure to high heat or flooded areas, other solutions might use nature-inspired design to develop resilient environments. Still others might focus on engineering solutions to failing power grids, employ novel statistical and mathematical methods to pro-actively evaluate the associated climate-induced risks, use AI, biotechnology or advanced manufacturing to innovate solutions, while others might create economic policies to incentivize social change. This list is not exhaustive.
Climate change is complex and solutions requires synergistic partnerships. It crosses geo-political borders, and mitigation and adaptation require a mix of scientific, technological, and policy knowledge, and an inclusive approach that involves stakeholder groups to develop the informed approaches, responses, and actions. Global cooperation among researchers is needed to bring a range of skills, experiences, and knowledge to understanding the problem, devising solutions, and training the world’s scientific workforce. The diverse needs, priorities, experiences, and perspectives of impacted communities will be essential components to drive innovative research to mitigate impacts of climate change on human and natural systems, promote adaptation to climate change, and explore clean energy alternatives.
NSF is committed to building a diverse and inclusive workforce to increase the Nation's capacity to perform STEM research and development, enhance innovation, and create new technologies that benefit society. Many of the communities that are most vulnerable to the effects of climate change include significant populations of groups that have historically not been included in STEM fields or in the development of STEM research. Important aims of this program are to broaden participation in research and engage stakeholders in innovative and meaningful ways that benefit individuals, communities, society, and STEM disciplines through diversity, equity, inclusion, and access (DEIA). Successful proposals will embrace both broadening participation and stakeholder engagement as key values that are integrated into the design of the Centers and the choice of science priorities to explore. Broadening participation, in this context, includes rethinking how one identifies, approaches, and prioritizes scientific questions to involve a diversity of individuals in the scientific enterprise. Diversifying the research workforce through a variety of approaches that support sustainable inclusion in the workplace is an important component of broadening participation. Stakeholder engagement through citizen science, partnerships, community engagement and many more types of activities that help drive research priorities will also support and facilitate broadening participation in STEM. 
The main objectives of a Center must focus on any combination of research disciplines supported by NSF.  However, if some of the stakeholders’ expertise fall out of that scope, justification must be provided as to how their expertise is required to advance the main research focus of the Centers.
Centers are expected to be driven by a bold vision for high-impact, use-inspired, basic research along with a strategy to integrate diverse perspectives from different stakeholder groups into the research endeavor, including perspectives from beyond the academic sector. It is expected that this effort will enhance societal benefits and expand international partnerships while building a diverse scientific and stakeholder community able to potentially carry out the work beyond the Center funding period.
Centers are expected to create and promote opportunities for students and early career researchers to gain education and training in world class research while enhancing diversity, equity, inclusion, and accessibility.
Centers are expected to undertake sustainable activities that advance knowledge, empower resilient communities, and generate discovery of innovative solutions at a regional and/or global scale.","standard, continuing","2023-05-10, 2023-05-10, 2023-05-10, 2023-05-10",,506146,nsf23557,Cleared,2023-02-06,https://beta.nsf.gov/funding/opportunities/global-centers-gc,Program,https://www.nsf.gov/publications/pub_summ.jsp?WT.z_pims_id=506146&ods_key=nsf23557
"Supporting Workshops to Develop a Strategy for the NSF Arctic Observing Network (AON) Program",,standard,,,,nsf23052,,2023-02-02,https://beta.nsf.gov/funding/opportunities/supporting-workshops-develop-strategy-nsf-arctic,"Dear colleague letter",
"Special Guidelines for Submitting Collaborative Proposals in Cybersecurity under U.S. National Science Foundation (NSF) and Deutsche Forschungsgemeinschaft e.V. (German Research Foundation, DFG) Collaborative Research Opportunities",,"standard, continuing",,,,nsf23051,,2023-02-02,https://beta.nsf.gov/funding/opportunities/special-guidelines-submitting-collaborative-12,"Dear colleague letter",
"Announcing Creation of Manufacturing Systems Integration (MSI) Program",,"standard, continuing",,,,nsf23050,,2023-02-01,https://beta.nsf.gov/funding/opportunities/announcing-creation-manufacturing-systems,"Dear colleague letter",
"Pathways to Enable Open-Source Ecosystems (POSE)","The Pathways to Enable Open-Source Ecosystems (POSE) program aims to harness the power of open-source development for the creation of new technology solutions to problems of national and societal importance. Many NSF-funded projects result in publicly accessible, modifiable, and distributable open-source products, including software, hardware, models, specifications, programming languages, or data platforms, that catalyze further innovation. In some cases, an open-source product that shows potential for wide adoption forms the basis for a self-sustaining open-source ecosystem (OSE) that comprises a leadership team; a managing organization with a well-defined governance structure and distributed development model; a cohesive community of external intellectual content developers; and a broad base of users across academia, industry, and government. The overarching vision of POSE is that proactive and intentional formation of managing organizations will ensure a broader and more diverse adoption of open-source products; increased coordination of external intellectual content developer contributions; and a more focused route to technologies with broad societal impact. Toward this end, the POSE program supports the formation of new OSE managing organizations based on an existing open-source product or class of products, whereby each organization is responsible for the creation and management of processes and infrastructure needed for the efficient and secure development and maintenance of an OSE.
POSE constitutes a new pathway to translate scientific innovations, akin to the Lab-to-Market Platform that NSF has pioneered over many decades. Whereas programs like the NSF Innovation Corps (I-Corps™), Partnerships for Innovation (PFI) and Small Business Innovation Research and Small Business Technology Transfer (SBIR and STTR) represent an integrated set of programs to provide researchers with the capacity to transform their fundamental research into deep technology ventures, POSE is specifically focused on another translational pathway–supporting the transition from open-source research artifacts to OSEs.
Importantly, the POSE program is not intended to fund the development of open-source products, including tools and artifacts. The POSE program is also not intended to fund existing well-resourced, open-source communities or ecosystems. Instead, the program aims to support new managing organizations to catalyze distributed, community-driven development and growth of new OSEs. The expected outcomes of the POSE program are to grow the community of researchers and innovators who develop and contribute to OSE efforts, and to enable pathways for the safe and secure development of OSEs that have broad societal impacts. OSEs can stem from any areas of Science, Technology, Engineering, and Mathematics (STEM) research and development.
This solicitation seeks two types of proposals, allowing teams to propose specific activities to scope and plan the establishment of an OSE (Phase I), and to establish a sustainable OSE based on a robust open-source product that shows promise in the ability to both meet an emergent societal or national need and build a community to help develop it (Phase II).
Phase I: OSE Scoping and Planning Proposals 
Phase I projects are for open-source research products with a small community of external users though the product may not necessarily have external content developers. The objectives of Phase I projects are to: (1) enable scoping activities that will inform the transition of promising research products that are already available in open-source formats into sustainable and robust OSEs that will have broad societal impacts, and (2) provide training to teams interested in building such an OSE.
Each Phase I proposal must describe the current context and, to the extent known at the time of the Phase I proposal, the long-term vision and potential impact of the proposed OSE. The proposals should also include specific scoping activities that will inform plans for ecosystem discovery; organizational and governance structure; continuous development, integration, and deployment of the open-source product(s); and community building for users and intellectual content developers. Phase I scoping activities are intended to help teams determine (a) whether their open-source product is suitable and ready to be transitioned into an OSE; (b) whether there is a user base that is ready to serve as early adopters; and (c) whether there is a distributed intellectual content developer community that can help develop and maintain the core product going forward.
Phase I proposals are limited to a total budget of $300,000 with durations of up to one year. The Project Description can be up to 7 pages for Phase I proposals.
Please note that the Phase I proposals described in this solicitation are a solicitation-specific project category and are separate and distinct from the Planning type of proposal described in Chapter II.F.1 of the PAPPG. When preparing a Phase I proposal in response to this solicitation, the ""Research"" type of proposal should be selected. 
Phase II:  Establishment and Expansion Proposals 
Phase II projects are for open-source research products with a small community of external users and external content developers.  The objective of Phase II projects is to support the transition of a promising open-source product into a sustainable and robust OSE. Phase II proposals are expected to have conducted the scoping activities (not necessarily via a Phase I award) needed to develop a detailed project plan to support the community-driven distributed development and deployment of successful open-source tools into operational environments. The proposals must include a community outreach plan that outlines activities to engage the intended intellectual content developer community that will further develop and maintain the technology and identifies user communities and/or organizations that will serve as early adopters of the technology. 
Each Phase II proposal must describe the current context and the long-term vision and impact of the proposed OSE. The proposal should also include a well-developed, cohesive plan for building an OSE, including ecosystem establishment/growth, organizational and governance structure, a framework for continuous development, integration, and deployment of the technology, methods for evaluating the OSE’s effectiveness, and activities to ensure security and privacy, build the community, and sustain the ecosystem.  
Phase II proposals are limited to a total budget of $1,500,000 with durations of up to two years. The Project Description can be up to 15 pages for Phase II proposals.
Phase I awardees are not obligated to submit Phase II proposals in the future. 
An NSF POSE Phase I award is not required for the submission of a Phase II proposal.","standard, continuing","2023-09-07, 2023-09-07",,505982,nsf23556,Cleared,2023-01-31,https://beta.nsf.gov/funding/opportunities/pathways-enable-open-source-ecosystems-pose,Program,https://www.nsf.gov/publications/pub_summ.jsp?WT.z_pims_id=505982&ods_key=nsf23556
"Advice related to the potential renewal of NSF AI Institute Awards",,"standard, continuing",,,,nsf23048,,2023-01-30,https://beta.nsf.gov/funding/opportunities/advice-related-potential-renewal-nsf-ai-institute,"Dear colleague letter",
"NSF-Swiss NSF Lead Agency Opportunity",,"standard, continuing",,,,nsf23049,,2023-01-27,https://beta.nsf.gov/funding/opportunities/nsf-swiss-nsf-lead-agency-opportunity,"Dear colleague letter",
"Centers of Research Excellence in Science and Technology Postdoctoral Research Program (CREST-PRP)","The Centers of Research Excellence in Science and Technology (CREST) program provides support to enhance the research capabilities of minority-serving institutions (MSIs) through the establishment of centers that effectively integrate education and research. CREST promotes the development of new knowledge, enhancements of the research productivity of individual faculty, and an expanded presence of students who are members of groups underrepresented in science, technology, engineering, and mathematics (STEM) disciplines. 
The CREST Postdoctoral Research Program (CREST-PRP) awards are part of the overarching CREST program and provide two years of support for research experience and training for early career scientists at active CREST Centers. The goal of the CREST-PRP awards is to increase the workforce presence of individuals from groups underrepresented in STEM fields. CREST-PRP awards recognize investigators with significant potential and provide them with research experiences that broaden perspectives, facilitate interdisciplinary interactions, and prepare CREST-PRP scholars for positions of leadership within the scientific community. Postdoctoral scholars conduct research on topics aligned with the research focus of the host CREST Center. The awards are also designed to provide active mentoring to the postdoctoral scholars by the scientific mentor who, in turn, will benefit from the incorporation of these talented scientists into their research groups. 
Proposals must be submitted by individual postdoctoral candidates. However, if an award is recommended, the award will be transferred to the host institution where the postdoctoral scholar will be named as the PI. The award will be issued to the host institution as a regular research award, and the award will be administered by the host institution. 
Women, veterans, persons with disabilities, and members of groups underrepresented in STEM are especially encouraged to apply.",standard,"2023-04-26, 2023-04-26",,506119,nsf23555,Cleared,2023-01-26,https://beta.nsf.gov/funding/opportunities/centers-research-excellence-science-technology-1,Program,https://www.nsf.gov/publications/pub_summ.jsp?WT.z_pims_id=506119&ods_key=nsf23555
"Molecular Foundations for Biotechnology (MFB)","This initiative supports fundamentally new approaches in molecular sciences to drive new directions in biotechnology, a critical and emerging technology of the 21st century. This is the third year of a campaign targeting broad themes to be pursued through collaborative high risk/high reward projects.
This MFB solicitation calls for creative, cross-disciplinary research and technology development proposals to accelerate understanding of RNA function in complex biological systems and to harness RNA research to advance biotechnology.
The funding opportunity will be coordinated by the National Science Foundation together with the National Institutes of Health, National Human Genome Research Institute (NHGRI). The focus on RNA science advances (1) Biotechnology innovation for a sustainable, safe and secure American bioeconomy; (2) the NSF 2022-2026 Strategic Plan to create new knowledge and benefit society by translating knowledge into solutions; and (3) the NHGRI 2020 Strategic Vision for improving human health at the Forefront of Genomics.
The program will support projects with a budgetary range of approximately $250,000 to $400,000 per year in direct costs and a duration of up to 3 years.","standard, continuing, other","2023-03-16, 2023-03-16",,506142,nsf23554,Cleared,2023-01-25,https://beta.nsf.gov/funding/opportunities/molecular-foundations-biotechnology-mfb-0,Program,https://www.nsf.gov/publications/pub_summ.jsp?WT.z_pims_id=506142&ods_key=nsf23554
"IUSE/Professional Formation of Engineers: Revolutionizing Engineering Departments (IUSE/PFE: RED)","Revolutionizing Engineering Departments (hereinafter referred to as RED) is designed to build upon previous efforts in engineering education research. Specifically, previous and ongoing evaluations of the NSF Engineering Education and Centers Division program and its predecessors, as well as those related programs in the Directorate for STEM Education, have shown that prior investments have significantly improved the first year of engineering students’ experiences, incorporating engineering material, active learning approaches, design instruction, and a broad introduction to professional skills and a sense of professional practice – giving students an idea of what it means to become an engineer. Similarly, the senior year has seen notable change through capstone design experiences, which ask students to synthesize the technical knowledge, skills, and abilities they have gained with professional capacities, using reflective judgment to make decisions and communicate these effectively. However, this ideal of the senior year has not yet been fully realized, because many of the competencies required in capstone design, or required of professional engineers, are only partially introduced in the first year and not carried forward with significant emphasis through the sophomore and junior years.
The Directorates for Engineering (ENG) and STEM Education (EDU) are funding projects as part of the RED program, in alignment with the Improving Undergraduate STEM Education (IUSE) framework and Professional Formation of Engineers (PFE) initiative. These projects are designing revolutionary new approaches to engineering education, ranging from changing the canon of engineering to fundamentally altering the way courses are structured to creating new departmental structures and educational collaborations with industry. A common thread across these projects is a focus on organizational and cultural change within the departments, involving students, faculty, staff, and industry in rethinking what it means to provide an engineering program.
In order to continue to catalyze revolutionary approaches, while expanding the reach of those that have proved efficacious in particular contexts, the RED program supports three tracks: RED Innovation, RED Adaptation and Implementation and RED Two-Year. This solicitation is limited to the Two-Year track. RED Two-Year projects will develop radically new approaches among multiple two-year institutions to expand the path to engineering and engineering technology four-year programs from two-year institutions with programs such as pre-engineering, engineering and engineering technology. Projects will include consideration of the cultural, organizational, structural, and pedagogical changes needed to transform the department to one in which students are engaged, develop their technical and professional skills, and establish identities as professional engineers. The focus of projects should be on the department’s disciplinary courses and program. RED project initiatives are expected to be institutionalized at the end of the funding period.","standard, continuing","2023-05-10, 2023-05-10",,505105,nsf23553,Cleared,2023-01-25,https://beta.nsf.gov/funding/opportunities/iuseprofessional-formation-engineers,Program,https://www.nsf.gov/publications/pub_summ.jsp?WT.z_pims_id=505105&ods_key=nsf23553
